seed,coverage,n_kept,trust_mean,R2,RMSE,MAE
0,1.0,98,0.6502262062619234,0.33772366798310316,18.879900883122165,15.421897129715932
0,0.9,88,0.6609008357021883,0.30365401151691895,18.366507273576268,14.928884926227136
0,0.8,78,0.6685803637448846,0.3472960532018098,17.908042558071035,14.320667665634813
0,0.7,69,0.6759024727950347,0.44067086720007187,17.247189055619504,13.430944212053387
0,0.6,59,0.6850977771865124,0.5003567756766845,17.435794855369686,13.320280403286219
0,0.5,49,0.6961274229515632,0.5119063298816787,18.176289389965003,13.587674842922405
0,0.4,39,0.7105596864336979,0.45996748221690853,19.583542197526427,14.910897965704711
0,0.3,29,0.7290860845192177,0.2125067524269253,20.497874771759044,15.099156935087855
1,1.0,113,0.6244890317582391,0.11992028217041606,31.064054671491746,25.140559069232992
1,0.9,102,0.6397396987218977,0.09318120229286775,31.726477012393353,25.900146069288407
1,0.8,90,0.6547537394868532,0.08824281459921612,31.05483994941515,25.061067931996373
1,0.7,79,0.6685585622992861,0.16618886657425147,28.500710387193294,22.715574752130408
1,0.6,68,0.6840016210859781,0.17329862106145655,27.249776305523806,21.223104815527734
1,0.5,56,0.7065754093703348,0.09876950200391788,26.442315383626944,20.15890706362984
1,0.4,45,0.7315955780387591,0.17427293418769307,24.1587475335765,18.32596433852553
1,0.3,34,0.7698547402531437,0.24504641180552245,23.957741858504512,18.426528816913315
2,1.0,138,0.612032945884224,0.16467109222193999,29.327718767885614,23.99621857586004
2,0.9,124,0.629940925963906,0.16592890436939267,28.806305900101332,23.07838493263734
2,0.8,110,0.6430524534861152,0.17961103555344626,27.42152879560484,21.402230006525155
2,0.7,97,0.6564922765691249,0.17619015849203967,27.001405313868368,20.42343132273534
2,0.6,83,0.6733801630276692,0.18428930828424728,24.558533189161313,18.064663959681184
2,0.5,69,0.6932617483124941,0.2087076087023676,23.993443383488295,17.081330250666202
2,0.4,55,0.7195247513133912,0.2446304511976204,23.606809071227026,16.02656980615571
2,0.3,41,0.7512916149704421,0.031986083323535364,25.884723233563943,17.62438486521886
3,1.0,106,0.7047948576941828,0.47887464607144925,19.171611643012085,14.168700119492208
3,0.9,95,0.7241139212424562,0.5042455408006867,19.337767480015806,14.079345308770028
3,0.8,85,0.7377692989307311,0.5902850055401442,17.634837072913417,13.118988001021455
3,0.7,74,0.7542605359935124,0.45530366717521376,17.279553778891138,12.578127268040134
3,0.6,64,0.7732444864689749,0.2826990824555494,17.431697545611698,12.93247650932532
3,0.5,53,0.7974296407139917,-0.03832826022017333,17.423175672992627,12.510573414804021
3,0.4,42,0.8171656565866314,-0.1421896426102156,13.537836338969356,10.892726478761151
3,0.3,32,0.8342463469939478,-0.019556437951025796,14.408629162802617,11.384332882565715
4,1.0,46,0.6640556595138638,0.4259967201828996,19.277418977193932,14.624259018163942
4,0.9,41,0.6979378913263465,0.1732068621875319,17.225376519136827,12.849962642043504
4,0.8,37,0.7204789314127925,-0.37128364791240354,15.579201186023596,11.506959970676533
4,0.7,32,0.7430244385547737,-0.367069530835322,16.31012048926397,12.018157056376102
4,0.6,28,0.7561745117771899,-0.20802950471620263,16.101473030889732,11.902236810349702
4,0.5,23,0.7749363576905328,-0.1133225087767249,16.544794675257865,11.852140226402273
4,0.4,18,0.7950803481140074,-0.10639719653877133,17.77147857393638,12.506481314246583
4,0.3,14,0.8151393216413549,0.006881207620433316,16.58359953050692,11.636102512941505
