Ref_group,n_rows,feature_set,model,cv,R2,RMSE,MAE,bias,pred_min,pred_max
"(Shen et al., 2017b)",65,full_capacity_process_model,xgboost,5-fold within-source,0.9915862390706657,3.2034906198575284,2.3339821448692906,-1.2865803915170522,6.260714530944824,99.83281707763672
"(Gao et al., 2019)",48,full_capacity_process_model,xgboost,5-fold within-source,0.973485932336647,2.971816017315434,2.13811802050888,-0.6655524280486548,15.19296932220459,86.7371826171875
"(Zama et al., 2017)",91,full_capacity_process_model,xgboost,5-fold within-source,0.9600560855268876,7.842087918240553,3.5561538420666703,-0.9851490516453005,2.112929105758667,100.0
"(Zama et al., 2017)",91,screening_safe_plus_ion,xgboost,5-fold within-source,0.9250351955182667,10.743235641900608,4.884835182441459,0.21899875095912327,6.39466667175293,100.0
"(Shen et al., 2017b)",65,screening_safe_numeric_only,xgboost,5-fold within-source,0.9215886662350923,9.779525724616068,6.239388054921077,1.0948763100550727,1.8895204067230225,100.0
"(Shen et al., 2017b)",65,screening_safe_plus_ion,xgboost,5-fold within-source,0.9195623465389239,9.905081862974807,6.363177312410794,1.0560469577495868,2.5164337158203125,100.0
"(Cui et al., 2016a)",24,full_capacity_process_model,xgboost,5-fold within-source,0.8936397732348109,6.6548190677535155,4.557597595120849,-3.220871159915364,18.563356399536133,82.73471069335938
"(Zama et al., 2017)",91,screening_safe_numeric_only,xgboost,5-fold within-source,0.8578760728201291,14.792446084905976,8.390998034634432,-0.34731844053163696,8.568563461303711,100.0
"(Gao et al., 2019)",48,screening_safe_numeric_only,xgboost,5-fold within-source,0.8489361620624731,7.093555909634012,5.573699162521159,0.6308731330615238,13.070343017578125,87.33121490478516
"(Gao et al., 2019)",48,screening_safe_plus_ion,xgboost,5-fold within-source,0.8382648660222742,7.339828716977969,5.764554342244263,0.5095613095345056,12.787057876586914,86.58149719238281
"(Cui et al., 2016a)",24,screening_safe_numeric_only,xgboost,5-fold within-source,0.644233477112891,12.171081333137945,8.94902365436259,1.1507607008176686,22.395156860351562,90.41773986816406
"(Cui et al., 2016a)",24,screening_safe_plus_ion,xgboost,5-fold within-source,0.6436272539283446,12.181446629907533,8.65612619151774,0.9879609450854501,22.361894607543945,90.39192199707031
https://www.sciencedirect.com/science/article/pii/S2213343721006655,30,screening_safe_plus_ion,xgboost,5-fold within-source,-0.4328641060085683,10.024368097615818,6.337686494954427,0.004079231770833758,69.04446411132812,98.18930053710938
https://www.sciencedirect.com/science/article/pii/S2213343721006655,30,full_capacity_process_model,xgboost,5-fold within-source,-0.5584050921399575,10.4542933717261,6.88074613647461,0.19714029744466188,69.54595947265625,98.098876953125
https://www.sciencedirect.com/science/article/pii/S2213343721006655,30,screening_safe_numeric_only,xgboost,5-fold within-source,-0.5731098388723672,10.503499705546444,6.726788063557944,0.03477915242513063,68.017333984375,99.36293029785156
https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,25,screening_safe_plus_ion,xgboost,5-fold within-source,-1.3999832405457826,25.573570156795203,17.839240356445313,-4.78898095703125,36.71318817138672,100.0
https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,25,screening_safe_numeric_only,xgboost,5-fold within-source,-1.4104658684265314,25.629359323376633,17.40706750488281,-4.37434228515625,35.820247650146484,100.0
https://www.sciencedirect.com/science/article/pii/S0045653519308616#bib150,25,full_capacity_process_model,xgboost,5-fold within-source,-1.615873290573099,26.699037694804307,18.860063262939452,-4.942616973876953,33.980831146240234,99.85790252685547
